,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1
89,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,7.0
90,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,10.0
91,5.0,5.0,3.0,5.0,2.0,3.0,5.0,2.0,4.0,3.0,5.0,5.0,5.0,4.0,10.0
92,5.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,10.0
93,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,10.0
94,4.0,5.0,3.0,5.0,3.0,5.0,5.0,1.0,4.0,1.0,4.0,3.0,4.0,3.0,8.0
95,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,10.0
96,4.0,3.0,2.0,5.0,2.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,2.0,5.0,8.0
97,4.0,4.0,4.0,4.0,2.0,3.0,5.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,6.0
98,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,,,,,,,5.0
99,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,8.0
100,4.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,8.0
101,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,9.0
113,5.0,3.0,2.0,5.0,2.0,2.0,5.0,2.0,,,,,,,
114,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,
115,4.0,2.0,4.0,5.0,2.0,4.0,4.0,2.0,,,,,,,
118,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,,,,,,,
123,,,,,,,,,,,,,,,
2,4.0,4.0,4.0,5.0,3.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,7.0
3,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,,4.0,10.0
4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,3.0,10.0
5,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,5.0,1.0,8.0
6,3.0,2.0,4.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,3.0
7,3.0,,,,,,,,,,,,,,
8,3.0,4.0,2.0,4.0,1.0,0.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0
9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,7.0
10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
11,4.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,,8.0
12,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,10.0
