,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1
2,3,4.0,4,4,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
3,3,2.0,2,4,1.0,4.0,5.0,1.0,4.0,3.0,4.0,1.0,4.0,5.0,8.0
4,5,4.0,1,5,1.0,5.0,5.0,1.0,4.0,2.0,2.0,1.0,4.0,5.0,9.0
5,5,5.0,4,5,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0
6,5,5.0,5,5,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
7,5,5.0,5,5,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
8,4,4.0,4,4,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
9,5,5.0,5,5,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
10,4,5.0,4,4,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
11,4,4.0,4,4,2.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,10.0
12,5,5.0,4,5,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,9.0
13,5,5.0,4,4,5.0,5.0,5.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,8.0
14,5,5.0,4,5,3.0,2.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,9.0
15,5,4.0,4,4,5.0,5.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0
16,3,4.0,4,5,,,5.0,,4.0,4.0,4.0,4.0,4.0,4.0,6.0
17,4,4.0,4,4,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
18,4,4.0,2,4,2.0,2.0,5.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,8.0
19,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
20,5,4.0,5,5,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,10.0
21,5,3.0,3,5,2.0,4.0,5.0,1.0,3.0,2.0,2.0,1.0,3.0,5.0,9.0
22,4,5.0,4,5,3.0,3.0,5.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,8.0
